Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Stub: CallConstructStub {1}
      2    0.0%    0.0%  Stub: BinaryOpICStub {1}
      2    0.0%    0.0%  Stub: ArgumentsAccessStub
      2    0.0%    0.0%  StorePolymorphicIC: resolvedSignature
      2    0.0%    0.0%  LazyCompile: ~writeType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14672:35
      2    0.0%    0.0%  LazyCompile: ~updateLastEncodedAndRecordedSpans /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:27452:51
      2    0.0%    0.0%  LazyCompile: ~signaturesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18252:41
      2    0.0%    0.0%  LazyCompile: ~parseModifiers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:10214:32
      2    0.0%    0.0%  LazyCompile: ~parseList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7715:27
      2    0.0%    0.0%  LazyCompile: ~parseIncrementExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9015:42
      2    0.0%    0.0%  LazyCompile: ~narrowType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19591:32
      2    0.0%    0.0%  LazyCompile: ~isTypeMemberStart /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8258:35
      2    0.0%    0.0%  LazyCompile: ~isIdenticalTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17938:35
      2    0.0%    0.0%  LazyCompile: ~isExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5102:26
      2    0.0%    0.0%  LazyCompile: ~hasDynamicName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5710:28
      2    0.0%    0.0%  LazyCompile: ~getWidenedType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18669:32
      2    0.0%    0.0%  LazyCompile: ~getUnionType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17178:30
      2    0.0%    0.0%  LazyCompile: ~emitNodeWithSourceMap /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34907:43
      2    0.0%    0.0%  LazyCompile: ~emitList /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:29704:30
      2    0.0%    0.0%  LazyCompile: ~emitFunctionDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:32495:45
      2    0.0%    0.0%  LazyCompile: ~emitBlock /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:31197:31
      2    0.0%    0.0%  LazyCompile: ~checkUnreachable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13118:34
